"Supplied Name","guid","scientificName","family","kingdom"
"Thelidium zwackhii","NHMSYS0001499645","Thelidium zwackhii","Verrucariaceae","Fungi"
"Xanthoparmelia verruculifera","NHMSYS0020536351","Xanthoparmelia verruculifera","Parmeliaceae","Fungi"
"Parmelia discordans","NBNSYS0000018873","Parmelia discordans","Parmeliaceae","Fungi"
"Lecanora achariana","NHMSYS0001494845","Protoparmeliopsis achariana","Lecanoraceae","Fungi"
"Phaeographis inusta","NHMSYS0001492988","Phaeographis inusta","Graphidaceae","Fungi"
"Melanohalea exasperatula","NHMSYS0001489137","Melanohalea exasperatula","Parmeliaceae","Fungi"
"Opegrapha mougeotii","BMSSYS0000042401","Alyxoria mougeotii","Roccellaceae","Fungi"
"Acarospora macrospora subsp. macrospora","NHMSYS0001472781","Acarospora macrospora subsp. macrospora","Acarosporaceae","Fungi"
"Arthothelium macounii","NBNSYS0000015524","Arthothelium macounii","Arthoniaceae","Fungi"
"Pycnora praestabilis","NHMSYS0020990771","Pycnora praestabilis","Pycnoraceae","Fungi"
"Bacidia polychroa","NBNSYS0000018239","Bacidia polychroa","Ramalinaceae","Fungi"
"Verrucaria rosula","NHMSYS0020988150","Verrucaria rosula","Verrucariaceae","Fungi"
"Buellia disciformis","NBNSYS0000018272","Buellia disciformis","Caliciaceae","Fungi"
"Micarea misella","NBNSYS0000018827","Micarea misella","Pilocarpaceae","Fungi"
"Psilolechia leprosa","NBNSYS0000039730","Psilolechia leprosa","Psilolechiaceae","Fungi"
"Verrucaria nigrescens f. tectorum","NHMSYS0020536330","Verrucaria nigrescens f. tectorum","Verrucariaceae","Fungi"
"Cladonia cervicornis subsp. pulvinata","BMSSYS0000731155","Cladonia pulvinata","Cladoniaceae","Fungi"
"Polyblastia cupularis","NBNSYS0000020620","Polyblastia cupularis","Verrucariaceae","Fungi"
"Peltigera rufescens","NHMSYS0001492067","Peltigera rufescens","Peltigeraceae","Fungi"
"Scoliciosporum chlorococcum","NHMSYS0001497325","Scoliciosporum chlorococcum","Scoliciosporaceae","Fungi"
"Lecanora chlorophaeodes","NBNSYS0000039650","Lecanora chlorophaeodes","Lecanoraceae","Fungi"
"Placopyrenium trachyticum","BMSSYS0000598540","Placopyrenium trachyticum","Verrucariaceae","Fungi"
"Cladonia cervicornis subsp. verticillata","BMSSYS0000003992","Cladonia verticillata","Cladoniaceae","Fungi"
"Agonimia repleta","BMSSYS0000001192","Agonimia repleta","Verrucariaceae","Fungi"
"Normandina acroglypta","BMSSYS0000012114","Normandina acroglypta",,"Fungi"
"Lepraria bergensis","NHMSYS0001487370","Lepraria bergensis","Stereocaulaceae","Fungi"
"Cyphelium trachylioides","BMSSYS0000731153","Calicium trachylioides","Caliciaceae","Fungi"
"Lepraria nylanderiana","BMSSYS0000010289","Lepraria nylanderiana","Stereocaulaceae","Fungi"
"Cladonia asahinae","NHMSYS0001477598","Cladonia asahinae","Cladoniaceae","Fungi"
"Rhizocarpon sublavatum","NHMSYS0001443232","Rhizocarpon sublavatum","Rhizocarpaceae","Fungi"
"Gyalideopsis muscicola","NHMSYS0001483325","Gyalideopsis muscicola","Gomphillaceae","Fungi"
"Enterographa hutchinsiae","NBNSYS0000019180","Enterographa hutchinsiae","Roccellaceae","Fungi"
"Bacidia bagliettoana","NHMSYS0021576883","Toniniopsis bagliettoana","Ramalinaceae","Fungi"
"Arthonia zwackhii","BMSSYS0000050522","Reichlingia zwackhii","Arthoniaceae","Fungi"
"Rhexophiale rhexoblephara","BMSSYS0000016167","Rhexophiale rhexoblephara","Sagiolechiaceae","Fungi"
"Caloplaca suaedae","NHMSYS0001476661","Caloplaca suaedae","Teloschistaceae","Fungi"
"Rinodina roboris var. roboris","BMSSYS0000016431","Rinodina roboris var. roboris","Physciaceae","Fungi"
"Bacidia viridescens","NHMSYS0021576513","Bacidina indigens","Ramalinaceae","Fungi"
"Lecanora varia","NBNSYS0000018635","Lecanora varia","Lecanoraceae","Fungi"
"Gyalidea diaphana","NHMSYS0001483315","Gyalidea diaphana","Gomphillaceae","Fungi"
"Bactrospora corticola","NBNSYS0000019170","Bactrospora corticola","Roccellaceae","Fungi"
"Xylopsora caradocensis","BMSSYS0000052659","Xylopsora caradocensis","Umbilicariaceae","Fungi"
"Opegrapha saxigena","BMSSYS0000045986","Gyrographa saxigena","Roccellaceae","Fungi"
"Pseudocyphellaria norvegica","NBNSYS0000019354","Pseudocyphellaria norvegica","Lobariaceae","Fungi"
"Collema undulatum var. undulatum","BMSSYS0000046963","Lathagrium undulatum var. undulatum","Collemataceae","Fungi"
"Lecanora jamesii","NHMSYS0001486398","Lecanora jamesii","Lecanoraceae","Fungi"
"Parmeliella testacea","NBNSYS0000018914","Parmeliella testacea","Pannariaceae","Fungi"
"Pertusaria dactylina","BMSSYS0000598525","Lepra dactylina",,"Fungi"
"Trapelia coarctata","NHMSYS0001499946","Trapelia coarctata","Trapeliaceae","Fungi"
"Cladonia parasitica","NBNSYS0000018390","Cladonia parasitica","Cladoniaceae","Fungi"
"Lecania cuprea","NHMSYS0001486274","Lecania cuprea","Ramalinaceae","Fungi"
"Lecania olivacella","NBNSYS0000039647","Lecania olivacella","Ramalinaceae","Fungi"
"Micarea cinerea f. cinerea","NHMSYS0001489445","Micarea cinerea f. cinerea","Pilocarpaceae","Fungi"
"Caloplaca teicholyta","NBNSYS0000020560","Caloplaca teicholyta","Teloschistaceae","Fungi"
"Stereocaulon delisei","NBNSYS0000019057","Stereocaulon delisei","Stereocaulaceae","Fungi"
"Verrucaria calciseda","NHMSYS0020989786","Bagliettoa calciseda","Verrucariaceae","Fungi"
"Rhizocarpon petraeum","NHMSYS0001496285","Rhizocarpon petraeum","Rhizocarpaceae","Fungi"
"Caloplaca sol","BMSSYS0000728279","Caloplaca sol","Teloschistaceae","Fungi"
"Porina byssophila","NHMSYS0001494640","Porina byssophila","Porinaceae","Fungi"
"Arthonia patellulata","NBNSYS0000015508","Arthonia patellulata","Arthoniaceae","Fungi"
"Massalongia carnosa","NBNSYS0000019314","Massalongia carnosa","Peltigeraceae","Fungi"
"Baeomyces carneus","BMSSYS0000002248","Baeomyces carneus","Baeomycetaceae","Fungi"
"Pyrenula occidentalis","NBNSYS0000019903","Pyrenula occidentalis","Pyrenulaceae","Fungi"
"Verrucaria nigrescens f. nigrescens","NHMSYS0020536329","Verrucaria nigrescens f. nigrescens","Verrucariaceae","Fungi"
"Catillaria fungoides","BMSSYS0000043460","Catillaria fungoides","Catillariaceae","Fungi"
"Protothelenella corrosa","NBNSYS0000039726","Protothelenella corrosa","Protothelenellaceae","Fungi"
"Rinodina aspersa","NBNSYS0000018269","Rinodina aspersa","Physciaceae","Fungi"
"Lecania granulata","NHMSYS0020990310","Lecania granulata","Ramalinaceae","Fungi"
"Buellia schaereri","NBNSYS0000018285","Buellia schaereri","Caliciaceae","Fungi"
"Lepraria sylvicola","NHMSYS0020039025","Lepraria sylvicola","Stereocaulaceae","Fungi"
"Lecanographa dilleniana","BMSSYS0000050266","Psoronactis dilleniana","Roccellaceae","Fungi"
"Caloplaca oasis","NHMSYS0020535109","Caloplaca oasis","Teloschistaceae","Fungi"
"Micarea subconfusa","BMSSYS0000011224","Micarea subconfusa","Pilocarpaceae","Fungi"
"Miriquidica complanata f. complanata","NHMSYS0001489669","Miriquidica complanata f. complanata","Lecanoraceae","Fungi"
"Xylographa trunciseda","NBNSYS0000019158","Xylographa trunciseda","Trapeliaceae","Fungi"
"Rhizocarpon postumum","NBNSYS0000039772","Rhizocarpon postumum","Rhizocarpaceae","Fungi"
"Crutarndina petractoides","BMSSYS0000044520","Crutarndina petractoides","Graphidaceae","Fungi"
"Lemmopsis arnoldiana","NBNSYS0000018751","Lemmopsis arnoldiana","Lichinaceae","Fungi"
"Solorina spongiosa","NBNSYS0000019360","Solorina spongiosa","Peltigeraceae","Fungi"
"Lecanora pruinosa","BMSSYS0000048301","Myriolecis pruinosa","Lecanoraceae","Fungi"
"Pyrenopsis furfurea","NBNSYS0000018974","Pyrenopsis furfurea","Lichinaceae","Fungi"
"Clauzadea chondrodes","BMSSYS0000043829","Clauzadea chondrodes","Lecideaceae","Fungi"
"Spilonema revertens","NBNSYS0000019046","Spilonema revertens","Coccocarpiaceae","Fungi"
"Leptogium brebissonii","NBNSYS0000018769","Leptogium brebissonii","Collemataceae","Fungi"
"Cetrelia monachorum","NHMSYS0001477219","Cetrelia monachorum","Parmeliaceae","Fungi"
"Aspicilia caesiocinerea","NBNSYS0000018181","Aspicilia caesiocinerea","Megasporaceae","Fungi"
"Lichina pygmaea","BMSSYS0000047590","Lichina pygmaea","Lichinaceae","Fungi"
"Rhizocarpon intersitum","NHMSYS0001496275","Rhizocarpon intersitum","Rhizocarpaceae","Fungi"
"Enterographa brezhonega","NHMSYS0020535404","Enterographa brezhonega","Roccellaceae","Fungi"
"Vestergrenopsis elaeina","NBNSYS0000039820","Vestergrenopsis elaeina","Placynthiaceae","Fungi"
"Caloplaca caesiorufella","BMSSYS0000003120","Caloplaca caesiorufella","Teloschistaceae","Fungi"
"Leptogium gelatinosum","NHMSYS0001487425","Leptogium gelatinosum","Collemataceae","Fungi"
"Verrucaria halizoa","NBNSYS0000020684","Verrucaria halizoa","Verrucariaceae","Fungi"
"Rimularia limborina","NBNSYS0000018685","Rimularia limborina","Trapeliaceae","Fungi"
"Collema parvum","BMSSYS0000051059","Scytinium parvum","Collemataceae","Fungi"
"Melanohalea septentrionalis","NHMSYS0001489139","Melanohalea septentrionalis","Parmeliaceae","Fungi"
"Lecania aipospila","NHMSYS0001486270","Lecania aipospila","Ramalinaceae","Fungi"
"Verrucaria macrostoma f. furfuracea","NHMSYS0020991009","Verrucaria macrostoma f. furfuracea","Verrucariaceae","Fungi"
"Usnea dasopoga","BMSSYS0000052346","Usnea dasopoga","Parmeliaceae","Fungi"
"Lecanographa abscondita","BMSSYS0000009441","Lecanographa abscondita","Lecanographaceae","Fungi"
"Arthonia muscigena","BMSSYS0000001680","Arthonia muscigena","Arthoniaceae","Fungi"
"Leprocaulon calcicola","BMSSYS0000533916","Leprocaulon calcicola","Leprocaulaceae","Fungi"
"Toninia mesoidea","BMSSYS0000731221","Toniniopsis mesoidea","Ramalinaceae","Fungi"
"Acarospora moenium","NHMSYS0020989682","Acarospora moenium","Acarosporaceae","Fungi"
"Graphis inustuloides","BMSSYS0000045884","Graphis inustuloides","Graphidaceae","Fungi"
"Xanthoparmelia loxodes","NHMSYS0020536348","Xanthoparmelia loxodes","Parmeliaceae","Fungi"
"Toninia opuntioides","NBNSYS0000039802","Toninia opuntioides","Ramalinaceae","Fungi"
"Parmelina quercina","NBNSYS0000018892","Parmelina quercina","Parmeliaceae","Fungi"
"Punctelia subrudecta s. lat.","BMSSYS0000534141","Punctelia subrudecta s. lat.","Parmeliaceae","Fungi"
"Cladonia polydactyla var. umbricola","BMSSYS0000003971","Cladonia polydactyla var. umbricola","Cladoniaceae","Fungi"
"Psilolechia lucida","NHMSYS0001495400","Psilolechia lucida","Psilolechiaceae","Fungi"
"Arthonia ilicina","NBNSYS0000015520","Arthonia ilicina","Arthoniaceae","Fungi"
"Physcia tribacia","NBNSYS0000018936","Physcia tribacia","Physciaceae","Fungi"
"Bryoria bicolor","NHMSYS0001476288","Bryoria bicolor","Parmeliaceae","Fungi"
"Bacidia scopulicola","NBNSYS0000018242","Bacidia scopulicola","Ramalinaceae","Fungi"
"Rinodina oleae","NHMSYS0001496502","Rinodina oleae","Physciaceae","Fungi"
"Caloplaca atroflava","NBNSYS0000020515","Caloplaca atroflava","Teloschistaceae","Fungi"
"Caloplaca arcis","NHMSYS0020039002","Caloplaca arcis","Teloschistaceae","Fungi"
"Ptychographa xylographoides","NBNSYS0000019238","Ptychographa xylographoides","Trapeliaceae","Fungi"
"Collema callopismum var. rhyparodes","NHMSYS0021576928","Scytinium callopismum var. rhyparodes","Collemataceae","Fungi"
"Porina linearis","NHMSYS0001494651","Porina linearis","Porinaceae","Fungi"
"Byssoloma leucoblepharum","NBNSYS0000039590","Byssoloma leucoblepharum","Byssolomataceae","Fungi"
"Pertusaria hymenea","NBNSYS0000019396","Pertusaria hymenea","Pertusariaceae","Fungi"
"Candelaria concolor","NHMSYS0001476782","Candelaria concolor","Candelariaceae","Fungi"
"Euopsis granatina","NBNSYS0000018977","Euopsis granatina","Lichinaceae","Fungi"
"Micarea herbarum","BMSSYS0000533967","Micarea herbarum","Pilocarpaceae","Fungi"
"Porina borreri","NBNSYS0000019884","Porina borreri","Porinaceae","Fungi"
"Verrucaria aranensis","NHMSYS0001501531","Verrucaria aranensis","Verrucariaceae","Fungi"
"Rhizocarpon umbilicatum","NBNSYS0000039777","Rhizocarpon umbilicatum","Rhizocarpaceae","Fungi"
"Placidium lachneum","NHMSYS0020990925","Placidium lachneum","Verrucariaceae","Fungi"
"Anisomeridium ranunculosporum","NHMSYS0001474644","Anisomeridium ranunculosporum","Monoblastiaceae","Fungi"
"Sarcogyne clavus","NBNSYS0000019020","Sarcogyne clavus","Acarosporaceae","Fungi"
"Chrysothrix candelaris","NHMSYS0001477463","Chrysothrix candelaris","Chrysotrichaceae","Fungi"
"Paralecanographa grumulosa","NHMSYS0020990695","Paralecanographa grumulosa","Roccellaceae","Fungi"
"Thelocarpon saxicola","NHMSYS0001499653","Thelocarpon saxicola","Thelocarpaceae","Fungi"
"Caloplaca luteoalba","NBNSYS0000020545","Caloplaca luteoalba","Teloschistaceae","Fungi"
"Lichinodium sirosiphoideum","BMSSYS0000010693","Lichinodium sirosiphoideum","Lichinaceae","Fungi"
"Lepraria diffusa var. chrysodetoides","NHMSYS0001487379","Lepraria diffusa var. chrysodetoides","Stereocaulaceae","Fungi"
"Verruculopsis flavescentaria","NHMSYS0020536335","Verruculopsis flavescentaria","Verrucariaceae","Fungi"
"Ochrolechia subviridis","NHMSYS0001491024","Ochrolechia subviridis","Ochrolechiaceae","Fungi"
"Celothelium ischnobelum","NBNSYS0000016155","Celothelium ischnobelum","Celotheliaceae","Fungi"
"Brianaria bauschiana","BMSSYS0000043174","Brianaria bauschiana","Psoraceae","Fungi"
"Fulvophyton sorediatum","NHMSYS0021645550","Ingaderia sorediata","Roccellaceae","Fungi"
"Agonimia globulifera","NHMSYS0001474230","Agonimia globulifera","Verrucariaceae","Fungi"
"Dermatocarpon luridum","NHMSYS0001480502","Dermatocarpon luridum","Verrucariaceae","Fungi"
"Caloplaca borreri","NHMSYS0019999443","Caloplaca borreri","Teloschistaceae","Fungi"
"Aspicilia aquatica","NHMSYS0020535057","Aspicilia aquatica","Megasporaceae","Fungi"
"Eiglera flavida","NHMSYS0001481281","Eiglera flavida","Hymeneliaceae","Fungi"
"Topeliopsis azorica","NHMSYS0020536243","Topeliopsis azorica","Graphidaceae","Fungi"
"Lecanora expallens","NBNSYS0000018589","Lecanora expallens","Lecanoraceae","Fungi"
"Catillaria chalybeia var. chalybeia","NHMSYS0001476913","Catillaria chalybeia var. chalybeia","Catillariaceae","Fungi"
"Mycobilimbia tetramera","NHMSYS0001490324","Mycobilimbia tetramera","Lecideaceae","Fungi"
"Protoparmelia oleagina","NBNSYS0000039724","Protoparmelia oleagina","Parmeliaceae","Fungi"
"Verrucaria knowlesiae","NHMSYS0001501622","Verrucaria knowlesiae","Verrucariaceae","Fungi"
"Strigula phaea","NHMSYS0001499161","Strigula phaea","Strigulaceae","Fungi"
"Lecanora congesta","BMSSYS0000533989","Myriolecis congesta","Lecanoraceae","Fungi"
"Mycoblastus sanguinarius f. leprosus","NHMSYS0001490328","Mycoblastus sanguinarius f. leprosus","Mycoblastaceae","Fungi"
"Collema latzelii","BMSSYS0000046962","Lathagrium latzelii","Collemataceae","Fungi"
"Vezdaea leprosa","NHMSYS0001501748","Vezdaea leprosa","Vezdaeaceae","Fungi"
"Caloplaca britannica","NHMSYS0001476629","Caloplaca britannica","Teloschistaceae","Fungi"
"Lecidea confluentula","BMSSYS0000009744","Lecidea confluentula","Lecideaceae","Fungi"
"Opegrapha demutata","NBNSYS0000039700","Opegrapha demutata","Roccellaceae","Fungi"
"Peltigera malacea","NBNSYS0000019331","Peltigera malacea","Peltigeraceae","Fungi"
"Hydropunctaria orae","NHMSYS0020990288","Hydropunctaria orae","Verrucariaceae","Fungi"
"Opegrapha calcarea","BMSSYS0000533560","Arthonia calcarea","Arthoniaceae","Fungi"
"Candelariella medians f. steepholmensis","NHMSYS0001476795","Candelariella medians f. steepholmensis","Candelariaceae","Fungi"
"Palicella filamentosa","BMSSYS0000048778","Palicella filamentosa","Lecanoraceae","Fungi"
"Xanthoria ulophyllodes","NBNSYS0000020583","Xanthoria ulophyllodes","Teloschistaceae","Fungi"
"Lecanora leptacina","NBNSYS0000018603","Lecanora leptacina","Lecanoraceae","Fungi"
"Caloplaca herbidella s. lat.","BMSSYS0000043345","Caloplaca herbidella s. lat.","Teloschistaceae","Fungi"
"Pyrenopsis subareolata","NBNSYS0000155539","Pyrenopsis subareolata","Lichinaceae","Fungi"
"Caloplaca holocarpa s. lat.","BMSSYS0000043346","Caloplaca holocarpa s. lat.","Teloschistaceae","Fungi"
"Cladonia borealis","BMSSYS0000003892","Cladonia borealis","Cladoniaceae","Fungi"
"Thrombium epigaeum","NBNSYS0000020661","Thrombium epigaeum","Thrombiaceae","Fungi"
"Calvitimela aglaea","NHMSYS0001476700","Calvitimela aglaea","Lecanoraceae","Fungi"
"Lecanora andrewii","BMSSYS0000048293","Myriolecis andrewii","Lecanoraceae","Fungi"
"Lempholemma cladodes","NBNSYS0000018757","Lempholemma cladodes","Lichinaceae","Fungi"
"Rhizocarpon richardii","NHMSYS0001496288","Rhizocarpon richardii","Rhizocarpaceae","Fungi"
"Lepraria crassissima","NHMSYS0001487378","Lepraria crassissima","Stereocaulaceae","Fungi"
"Romjularia lurida","NHMSYS0020536053","Romjularia lurida","Lecideaceae","Fungi"
"Caloplaca chalybaea","NBNSYS0000020521","Caloplaca chalybaea","Teloschistaceae","Fungi"
"Carbonicola anthracophila","BMSSYS0000043436","Carbonicola anthracophila","Carbonicolaceae","Fungi"
"Hypogymnia tubulosa","NHMSYS0001485079","Hypogymnia tubulosa","Parmeliaceae","Fungi"
"Hypotrachyna endochlora","NHMSYS0001485114","Hypotrachyna endochlora","Parmeliaceae","Fungi"
"Wadeana dendrographa","NBNSYS0000019154","Wadeana dendrographa",,"Fungi"
"Lecanora soralifera","NHMSYS0001486457","Lecanora soralifera","Lecanoraceae","Fungi"
"Melanohalea elegantula","NHMSYS0001489135","Melanohalea elegantula","Parmeliaceae","Fungi"
"Xanthoria polycarpa","NHMSYS0000364560","Xanthoria polycarpa","Teloschistaceae","Fungi"
"Melanohalea exasperata","NHMSYS0001489136","Melanohalea exasperata","Parmeliaceae","Fungi"
"Placidium boccanum","NHMSYS0001493866","Placidium boccanum","Verrucariaceae","Fungi"
"Atla wheldonii","NHMSYS0020989768","Atla wheldonii","Verrucariaceae","Fungi"
"Opegrapha viridis","NBNSYS0000019232","Opegrapha viridis","Roccellaceae","Fungi"
"Rimularia intercedens","BMSSYS0000016407","Rimularia intercedens","Trapeliaceae","Fungi"
"Catillaria picila","NBNSYS0000018307","Catillaria picila","Catillariaceae","Fungi"
"Usnea glabrata","NBNSYS0000019143","Usnea glabrata","Parmeliaceae","Fungi"
"Usnea florida","NHMSYS0001501165","Usnea florida","Parmeliaceae","Fungi"
"Arthrorhaphis citrinella","NBNSYS0000018179","Arthrorhaphis citrinella","Arthrorhaphidaceae","Fungi"
"Syncesia myrticola","BMSSYS0000018213","Syncesia myrticola","Roccellaceae","Fungi"
"Polyblastia agraria","NHMSYS0001494357","Polyblastia agraria","Verrucariaceae","Fungi"
"Stereocaulon evolutum","NBNSYS0000019058","Stereocaulon evolutum","Stereocaulaceae","Fungi"
"Fuscidea cyathoides var. sorediata","NBNSYS0000018488","Fuscidea cyathoides var. sorediata","Fuscideaceae","Fungi"
"Pyrenula macrospora","NHMSYS0001495927","Pyrenula macrospora","Pyrenulaceae","Fungi"
"Allantoparmelia alpicola","NBNSYS0000018171","Allantoparmelia alpicola","Parmeliaceae","Fungi"
"Pertusaria pupillaris","NHMSYS0001492313","Pertusaria pupillaris","Pertusariaceae","Fungi"
"Chaenotheca brunneola","NHMSYS0001477234","Chaenotheca brunneola","Coniocybaceae","Fungi"
"Belonia russula","NHMSYS0001475572","Belonia russula","Gyalectaceae","Fungi"
"Cresponea premnea","BMSSYS0000005245","Cresponea premnea","Roccellaceae","Fungi"
"Melaspilea granitophila","NHMSYS0001474948","Arthonia granitophila","Arthoniaceae","Fungi"
"Dirina massiliensis f. sorediata","NHMSYS0001480963","Dirina massiliensis f. sorediata","Roccellaceae","Fungi"
"Diploicia canescens","NHMSYS0001480937","Diploicia canescens","Caliciaceae","Fungi"
"Chaenotheca phaeocephala","NBNSYS0000015551","Chaenotheca phaeocephala","Coniocybaceae","Fungi"
"Lecidea inops","NBNSYS0000018676","Lecidea inops","Lecideaceae","Fungi"
"Fuscidea intercincta","NBNSYS0000018491","Fuscidea intercincta","Fuscideaceae","Fungi"
"Biatora globulosa","NHMSYS0020535076","Biatora globulosa","Ramalinaceae","Fungi"
"Caloplaca chlorina","NHMSYS0000361660","Caloplaca chlorina","Teloschistaceae","Fungi"
"Involucropyrenium waltheri","NHMSYS0001485513","Involucropyrenium waltheri","Verrucariaceae","Fungi"
"Pertusaria amarescens","NBNSYS0000019379","Pertusaria amarescens","Pertusariaceae","Fungi"
"Pertusaria hutchinsiae","BMSSYS0000013271","Pertusaria hutchinsiae","Pertusariaceae","Fungi"
"Tremolecia atrata","NBNSYS0000019119","Tremolecia atrata","Hymeneliaceae","Fungi"
"Stereocaulon vesuvianum var. nodulosum","NBNSYS0000019068","Stereocaulon vesuvianum var. nodulosum","Stereocaulaceae","Fungi"
"Gomphillus calycioides","NBNSYS0000018500","Gomphillus calycioides","Gomphillaceae","Fungi"
"Cladonia caespiticia","NHMSYS0001477602","Cladonia caespiticia","Cladoniaceae","Fungi"
"Phlyctis argena","NBNSYS0000018924","Phlyctis argena","Phlyctidaceae","Fungi"
"Brianaria sylvicola","BMSSYS0000043176","Brianaria sylvicola","Psoraceae","Fungi"
"Fellhanera bouteillei","NHMSYS0001482173","Fellhanera bouteillei","Pilocarpaceae","Fungi"
"Lecania erysibe s. lat.","BMSSYS0000533823","Lecania erysibe s. lat.","Ramalinaceae","Fungi"
"Biatorella hemisphaerica","NBNSYS0000018248","Biatorella hemisphaerica","Biatorellaceae","Fungi"
"Ochrolechia turneri s. str.","NHMSYS0000364693","Ochrolechia turneri s. str.","Ochrolechiaceae","Fungi"
"Vezdaea cobria","NHMSYS0001501747","Vezdaea cobria","Vezdaeaceae","Fungi"
"Arctomia delicatula","NBNSYS0000018177","Arctomia delicatula","Arctomiaceae","Fungi"
"Cladonia stygia","NBNSYS0000039831","Cladonia stygia","Cladoniaceae","Fungi"
"Sphaerophorus fragilis","NBNSYS0000015579","Sphaerophorus fragilis","Sphaerophoraceae","Fungi"
"Staurothele caesia","NBNSYS0000020637","Staurothele caesia","Verrucariaceae","Fungi"
"Mycoblastus alpinus","NHMSYS0001490327","Mycoblastus alpinus","Mycoblastaceae","Fungi"
"Opegrapha viridipruinosa","NHMSYS0020990670","Opegrapha viridipruinosa","Roccellaceae","Fungi"
"Miriquidica leucophaea","NHMSYS0001489673","Miriquidica leucophaea","Lecanoraceae","Fungi"
"Physconia grisea","NBNSYS0000018941","Physconia grisea","Physciaceae","Fungi"
"Hypotrachyna britannica","NHMSYS0001485113","Hypotrachyna britannica","Parmeliaceae","Fungi"
"Caloplaca demissa","BMSSYS0000043341","Caloplaca demissa","Teloschistaceae","Fungi"
"Xylopsora friesii","BMSSYS0000052660","Xylopsora friesii","Umbilicariaceae","Fungi"
"Diploschistes muscorum","NHMSYS0001480947","Diploschistes muscorum","Graphidaceae","Fungi"
"Stereocaulon plicatile","BMSSYS0000017964","Stereocaulon plicatile","Stereocaulaceae","Fungi"
"Trapelia glebulosa","BMSSYS0000728281","Trapelia glebulosa s. lat.","Trapeliaceae","Fungi"
"Stereocaulon tornense","NHMSYS0001498952","Stereocaulon tornense","Stereocaulaceae","Fungi"
"Lecidea fuliginosa","NBNSYS0000018666","Lecidea fuliginosa","Lecideaceae","Fungi"
"Porocyphus leptogiella","NHMSYS0001494661","Porocyphus leptogiella","Lichinaceae","Fungi"
"Pertusaria melanochlora","BMSSYS0000598527","Lepra melanochlora",,"Fungi"
"Dermatocarpon miniatum","NHMSYS0001480504","Dermatocarpon miniatum","Verrucariaceae","Fungi"
"Bacidia incompta","BMSSYS0000731148","Bellicidia incompta","Ramalinaceae","Fungi"
"Caloplaca limonia","NHMSYS0020989894","Caloplaca limonia","Teloschistaceae","Fungi"
"Punctelia jeckeri","NHMSYS0020327881","Punctelia jeckeri","Parmeliaceae","Fungi"
"Verrucaria baldensis","NHMSYS0021645960","Bagliettoa parmigera s. lat.","Verrucariaceae","Fungi"
"Cliostomum subtenerum","NHMSYS0020987612","Cliostomum subtenerum","Ramalinaceae","Fungi"
"Caloplaca herbidella s. str.","NHMSYS0020987556","Caloplaca herbidella s. str.","Teloschistaceae","Fungi"
"Hydropunctaria scabra","NHMSYS0020990290","Hydropunctaria scabra","Verrucariaceae","Fungi"
"Calicium victorianum","NHMSYS0020327859","Calicium victorianum","Caliciaceae","Fungi"
"Sarcosagium campestre var. macrosporum","NBNSYS0000019024","Sarcosagium campestre var. macrosporum","Thelocarpaceae","Fungi"
"Alectoria sarmentosa subsp. vexillifera","NBNSYS0000018170","Alectoria sarmentosa subsp. vexillifera","Parmeliaceae","Fungi"
"Caloplaca obscurella","NHMSYS0001476657","Caloplaca obscurella","Teloschistaceae","Fungi"
"Lecania coerulescens","NBNSYS0000039644","Lecania coerulescens","Ramalinaceae","Fungi"
"Placynthium caesium","BMSSYS0000014635","Placynthium caesium","Placynthiaceae","Fungi"
"Agonimia octospora","NBNSYS0000020586","Agonimia octospora","Verrucariaceae","Fungi"
"Peltigera venosa","NBNSYS0000019338","Peltigera venosa","Peltigeraceae","Fungi"
"Placidium pilosellum","NHMSYS0001493871","Placidium pilosellum","Verrucariaceae","Fungi"
"Bacidia subincompta","NHMSYS0021576888","Toniniopsis separabilis","Ramalinaceae","Fungi"
"Arthonia astroidestera","BMSSYS0000730633","Synarthonia astroidestera","Arthoniaceae","Fungi"
"Leptogium byssinum","BMSSYS0000051048","Scytinium biatorinum","Collemataceae","Fungi"
"Ramalina cuspidata","NBNSYS0000018985","Ramalina cuspidata","Ramalinaceae","Fungi"
"Pseudocyphellaria aurata","BMSSYS0000044504","Crocodia aurata","Lobariaceae","Fungi"
"Verrucaria polysticta","BMSSYS0000019590","Verrucaria polysticta","Verrucariaceae","Fungi"
"Lecidella meiococca","BMSSYS0000010097","Lecidella meiococca","Lecanoraceae","Fungi"
"Ramalina canariensis","NHMSYS0001496005","Ramalina canariensis","Ramalinaceae","Fungi"
"Ochrolechia bahusiensis","BMSSYS0000012144","Ochrolechia bahusiensis","Ochrolechiaceae","Fungi"
"Rhizocarpon distinctum","NBNSYS0000039750","Rhizocarpon distinctum","Rhizocarpaceae","Fungi"
"Verrucaria anziana","NHMSYS0020536327","Verrucaria anziana","Verrucariaceae","Fungi"
"Caloplaca pyracea","BMSSYS0000003153","Caloplaca pyracea","Teloschistaceae","Fungi"
"Arthonia anglica","NBNSYS0000039558","Arthonia anglica","Arthoniaceae","Fungi"
"Caloplaca lucifuga","NBNSYS0000039596","Caloplaca lucifuga","Teloschistaceae","Fungi"
"Hypotrachyna revoluta s.str.","BMSSYS0000533802","Hypotrachyna revoluta s. lat.","Parmeliaceae","Fungi"
"Bryoria implexa","NBNSYS0000018264","Bryoria implexa","Parmeliaceae","Fungi"
