"key"	"taxonId"	"origTaxonId"	"prefTaxonName"	"dataValue"	"maxDataValue"	"origTaxon"	"origQualifier"	"notes"	"referenceSummary"	"reference entity id"
"Thymus polytrichus auct. non A.Kern. ex Borbás"	"2cd4p9h.7mm638"	"2cd4p9h.p8c"	"Thymus polytrichus auct. non A.Kern. ex Borbás"	4	4	"Thymus polytrichus"				
"Viola persicifolia auct. non Schreb."	"2cd4p9h.7mm6bk"	"2cd4p9h.5qt"	"Viola persicifolia auct. non Schreb."	8	8	"Viola persicifolia"				
"Festuca pratensis x Lolium perenne = X Festulolium loliaceum (Huds.) P.Fourn."	"2cd4p9h.7mm6e9"	"2cd4p9h.543"	"Festuca pratensis x Lolium perenne = X Festulolium loliaceum (Huds.) P.Fourn."	6	6	"Festuca pratensis x Lolium perenne = X Festulolium loliaceum"				
"Bromus commutatus Schrad."	"2cd4p9h.7mm6kw"	"2cd4p9h.xc"	"Bromus commutatus Schrad."	4	4	"Bromus commutatus"				
"Callitriche hamulata s.l."	"2cd4p9h.7mm6x8"	"2cd4p9h.xd2"	"Callitriche hamulata s.l."	10	10	"Callitriche hamulata"	"s.l."			
"Callitriche hamulata Kütz. ex W.D.J.Koch"	"2cd4p9h.7mm6x8"	"2cd4p9h.8e5"	"Callitriche hamulata Kütz. ex W.D.J.Koch"	11	11	"Callitriche hamulata"				
"Athyrium flexile (Newman) Druce"	"2cd4p9h.7mm7m2"	"2cd4p9h.v3y"	"Athyrium flexile (Newman) Druce"	6	6	"Athyrium flexile"				
"Potentilla neumanniana auct., non Rchb."	"2cd4p9h.7mmt9v"	"2cd4p9h.7mm4fe"	"Potentilla neumanniana auct., non Rchb."	3	3	"Potentilla neumanniana"				
"Erigeron acer L."	"2cd4p9h.7q6gmd"	"2cd4p9h.ykg"	"Erigeron acer L."	5	5	"Erigeron acer"				
"Althaea hirsuta L."	"2cd4p9h.7q816f"	"2cd4p9h.ee5"	"Althaea hirsuta L."	4	4	"Althaea hirsuta"				
"Monotropa hypopitys L."	"2cd4p9h.82szng"	"2cd4p9h.xqm"	"Monotropa hypopitys L."	5	5	"Monotropa hypopitys"				
"Arabis petraea (L.) Lam."	"2cd4p9h.83ng3h"	"2cd4p9h.yf0"	"Arabis petraea (L.) Lam."	3	3	"Arabis petraea"				
"Lloydia serotina (L.) Rchb."	"2cd4p9h.83ng3q"	"2cd4p9h.5bt"	"Lloydia serotina (L.) Rchb."	5	5	"Lloydia serotina"				
"Otanthus maritimus (L.) Hoffmanns. & Link"	"2cd4p9h.83ng4q"	"2cd4p9h.1wa"	"Otanthus maritimus (L.) Hoffmanns. & Link"	2	2	"Otanthus maritimus"				
"Loiseleuria procumbens (L.) Desv."	"2cd4p9h.83ng4z"	"2cd4p9h.vm5"	"Loiseleuria procumbens (L.) Desv."	5	5	"Loiseleuria procumbens"				
"Gentianella ciliata (L.) Borkh."	"2cd4p9h.83ng5b"	"2cd4p9h.ctd"	"Gentianella ciliata (L.) Borkh."	3	3	"Gentianella ciliata"				
"Simethis planifolia (L.) Gren."	"2cd4p9h.84gq6c"	"2cd4p9h.eeq"	"Simethis planifolia (L.) Gren."	5	5	"Simethis planifolia"				
"Salix fragilis auct. non L."	"2cd4p9h.8y71q8"	"2cd4p9h.cvv"	"Salix fragilis auct. non L."	8	8	"Salix fragilis"				
