Briza media,2,3,3,3,3,3,3,2,3,3,3,3,2,2,,3,,1,2,2,2,4,2,3,,1,2,,4,3,,2,2,3,2,,2,1,3,4,3,,,2,3,3,3,3,4,,4,1,4,5,3,,1,1,1,1,,,,1,1,2,1,4,1,2,,,2,4,1,3,2,4,,4,,,,1,2,3,,5,1,2,2,3,1,3,3,3,3,2,2,4,3,3,2,,1,3,,3,3,1,2,2,2,4,
Bromopsis erecta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campanula glomerata,,,,,1,,,2,,,,2,,,,,,1,4,2,1,,1,2,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,3,1,,1,,,,,,,,,,,3,,4,,4,,,,,,,,,,,,,,,,,3,3,2,,,,,,,,,,,,,3,
Campanula rotundifolia,,2,,2,,2,2,2,,1,2,2,1,,5,3,2,,1,,,,,,,,2,,,,,,,1,1,,,,,,,,,2,2,,2,,,,,1,2,1,2,3,1,2,,,,2,,,1,,,,,2,1,2,,,1,,,,,3,,,2,,,2,,,,2,,,,,2,,,2,2,2,,2,2,2,2,,1,2,,1,,,1,2,2
Camptothecium lutescens,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,3,2,,1,,,,,,2,,1,,2,1,,3,,,,,1,1,1,1,1,1,1,,,1,1,1,1,1,3,2,1,,1,3,1,,1,,,,,,1,,1,,1,,,,1,2,1,2,1,,,,1,3,1,,,,,,,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,,
Campyliadelphus chrysophyllus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex caryophyllea,2,2,3,,3,3,3,,3,,2,,2,3,,2,3,1,2,1,1,3,3,4,2,2,2,,,3,2,,1,4,1,2,2,,3,4,,,,,3,3,2,2,3,,,,3,3,3,4,1,2,2,,,2,,2,2,3,1,2,3,,,2,2,,,2,,,1,2,1,3,2,2,3,,2,,1,2,2,,,1,3,2,2,3,2,2,2,,2,3,,3,2,3,3,,3,,3,2,
Carex flacca,3,4,4,3,4,4,4,4,,3,3,2,4,3,3,3,4,2,1,3,3,1,4,4,2,,4,3,3,3,4,3,4,3,4,3,3,,3,3,3,4,3,4,4,3,5,4,4,2,4,2,1,5,4,3,2,4,1,2,2,4,3,4,3,4,2,3,,,2,4,3,,2,3,1,5,3,4,1,2,5,3,,4,2,2,,3,3,,2,4,4,2,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3
Carex humilis,2,3,2,4,5,4,4,3,,4,4,3,4,3,4,2,3,1,3,2,2,4,2,4,3,1,2,,,3,,,,,,,,,1,,,,,,3,2,3,3,,,,,4,4,3,4,1,4,5,3,2,2,2,5,4,4,1,5,,,2,3,3,,4,3,2,3,2,4,2,,4,,,,,,,,,3,,,4,3,3,3,3,4,3,4,,3,,,2,,,,,,,2,
Carlina vulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centaurea nigra,2,4,,5,4,4,5,3,3,4,3,5,4,4,6,4,4,2,4,2,,3,4,,3,4,,3,,4,4,,3,3,4,2,4,3,5,4,4,4,4,4,4,3,,3,2,4,4,2,,4,5,,2,,,,,4,1,2,,5,1,5,4,4,3,4,5,,2,,2,4,2,,5,,,5,5,4,,5,3,5,,4,,,,5,5,,4,3,3,4,3,4,2,3,3,3,3,,,5,,2,3
Centaurea scabiosa,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,3,,3,,,,,,,1,4,,,,,2,,
Cirsium acaule,4,5,,3,4,4,4,4,4,5,6,,6,4,3,,7,,3,3,,3,,,3,5,,1,,2,,,3,4,5,4,4,,,7,7,,5,5,5,,,4,,1,,,4,4,4,3,2,,,,,,3,6,5,4,,,4,5,5,5,6,5,1,5,2,,2,,5,3,5,,2,5,6,,,4,,3,5,,,4,,4,,3,4,,,,4,1,4,5,6,7,5,,2,3,5
Cirsium arvense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cirsium vulgare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinopodium vulgare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coeloglossum viride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corylus avellana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crataegus monogyna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crepis capillaris,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,
Cynosurus cristatus,1,,2,2,,2,3,2,3,2,3,2,2,3,2,3,4,1,3,,2,1,,,,,,,,1,,2,3,,1,2,3,,2,3,5,2,3,3,,,,2,3,2,2,3,,,2,,1,2,,2,,4,,,,,1,,,,,,,3,,,1,3,,5,2,4,,,2,4,,4,,2,2,,2,,,2,3,2,3,3,,2,4,2,2,2,,2,1,,2,2,1,2,2
Dactylis glomerata,,,,,1,3,3,3,3,3,,3,3,2,3,5,,2,,4,,4,,,1,5,2,3,2,,,,3,2,,3,3,1,3,4,3,4,3,4,4,3,3,3,3,1,3,3,,,,3,3,1,2,,1,,1,,,4,1,1,1,6,,3,1,4,2,,3,5,1,5,4,4,,2,3,4,3,4,3,4,4,4,2,2,3,3,3,3,,3,3,3,3,,3,,3,3,3,2,2,4,,3,5
Daucus carota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deschampsia cespitosa,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Euphrasia nemorosa,,,,,1,2,2,2,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,2,2,,,,,2,2,2,,,,,,,,1,,,,1,,,,,,,,,,,1,1,1,,1,,1,,1,,,,1,1,,1,1,1,,1,1,1,,,,2,2,,1,2,2,2,,1,,,1,,,1,,,,,
Eurhynchium praelongum,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Festuca ovina,4,4,5,4,3,4,5,5,5,5,5,5,5,7,7,6,5,6,4,4,5,5,5,4,4,7,4,6,6,5,5,6,5,4,,4,3,,6,4,7,7,8,4,6,7,3,4,5,7,4,5,4,2,5,5,4,4,3,4,,4,,4,5,3,2,6,4,5,5,5,6,6,3,4,2,6,3,4,5,6,5,6,5,5,4,6,6,7,7,7,4,7,5,6,6,5,6,5,4,,4,6,6,5,5,6,5,5,5,4,5,6,4
Festuca rubra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filipendula vulgaris,1,2,,2,3,2,2,,2,,2,2,3,2,3,3,,1,3,2,,,2,,2,,2,2,,2,2,1,2,,1,3,2,1,3,3,3,,3,3,3,4,,,3,2,3,,2,2,3,2,1,2,1,,2,,1,2,1,3,1,,2,,2,2,3,,1,3,,,2,4,2,3,1,,,1,2,,,,,3,,,4,3,3,,,3,3,2,,2,,,,2,4,3,1,1,,2,2
Fissidens sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragaria vesca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galium album,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galium verum,,,,3,3,,,3,,,,3,,,,,3,,,2,1,,5,2,1,,2,4,1,,,,,,2,1,,,,3,3,3,,4,5,2,,2,,3,3,,,1,2,,,,,,1,3,2,2,,,,,1,,2,4,2,3,2,3,4,4,1,2,,3,2,3,2,2,,,,1,1,,4,2,,3,3,,,,,,3,,3,,2,2,2,2,2,1,1,3,
Gentianella amarella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helianthemum nummularium,,3,3,3,2,,,2,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,2,2,,,3,,,,,,,,,,,,,2,,1,1,,1,,2,2,,,,4,,,,,3,1,1,4,1,,,,1,2,,4,2,4,1,2,,,,,3,,,2,3,,2,3,3,2,2,,,2,3,2,2,,,3,,2,
Hippocrepis comosa,,,,2,,2,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holcus lanatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,3,,,,
Hypericum perforatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juniperus communis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koeleria macrantha,2,3,3,3,3,3,3,3,3,3,3,,4,4,3,3,3,2,2,3,1,2,2,3,2,2,2,,4,2,3,3,4,,,2,2,1,3,3,,3,,3,3,3,4,3,4,4,3,1,3,2,3,2,1,2,1,3,1,2,1,2,1,2,,2,2,2,,1,3,3,1,2,,3,,4,,,2,1,,2,,,1,2,,3,,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,,1,3,1,1,3,
Leontodon hispidus,3,4,3,4,3,4,4,4,4,3,3,3,3,4,3,3,3,2,,4,3,4,2,,3,2,4,4,1,,2,3,,,2,2,4,4,4,5,,4,3,4,4,3,5,3,4,,3,2,,4,4,4,3,2,2,3,1,4,2,,2,4,1,4,4,,1,4,4,4,3,4,2,4,2,5,2,3,4,4,2,5,4,3,3,4,3,2,2,5,4,3,4,3,2,3,2,2,,3,3,,5,4,3,5,3,1,3,3,
Leucanthemum vulgare,,2,1,,,,,,,,,,,1,,,,,,2,1,,2,2,,,,,1,1,,,2,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ligustrum vulgare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linum catharticum,,,,1,2,,2,,,,2,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,2,,,,1,,1,,1,,,,,,,,,,1,2,,2,1,,,,,,,,,
Lolium perenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotus corniculatus,3,3,3,2,,2,3,2,2,2,3,3,3,,3,4,,,,3,4,4,2,,2,1,1,2,,2,,4,,2,1,,,,2,3,,4,3,,3,3,,3,3,3,3,3,1,2,3,,2,2,,1,2,,1,,1,4,2,3,,,,3,4,2,1,4,2,2,4,3,3,,3,2,1,2,,3,,4,1,,,4,3,3,3,2,,2,,2,2,3,2,,2,,,,2,3,2,,
Luzula campestris,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
Medicago lupulina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,3,,2,2,2,,2,,,,,,3,,,,,
Mnium sp. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neotinea ustulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Onobrychis viciifolia,,,,,2,3,3,3,2,3,3,3,3,3,,,,,4,3,3,4,,,,,,,,,,,3,4,,3,,,,,,,4,,3,,3,3,,,,1,,,,,1,,2,,,2,,4,,,,,,3,3,4,3,,1,,1,5,,,2,,,,,,,,,,,,,,,,,,2,3,3,3,,,,1,3,2,2,,,,2,,
Ononis repens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Ononis spinosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ophrys apifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pastinaca sativa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phleum bertolonii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,2,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Picris hieracioides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,3,,1,1,1,,,,1,,,,,,4,2,3,,1,3,,,,,,,,,,
Pilosella officinarum,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,1,,,,,,,,,
Pimpinella saxifraga,2,3,3,2,2,,2,,2,2,2,3,2,1,3,1,3,1,,1,,1,,3,3,2,,,1,3,1,1,1,,2,,3,1,,,3,,3,2,2,3,3,2,2,,3,,,,2,2,2,2,1,3,2,,1,2,1,2,,2,1,,1,,,,,,,2,1,3,,,,,,3,,,,,,,1,,3,,1,,2,,,,3,2,,3,,2,,1,,1,2,,1
Plantago lanceolata,4,4,4,3,5,4,4,4,4,4,4,4,4,4,,4,,4,3,3,3,2,3,4,2,3,,,3,2,,1,3,4,4,2,3,4,4,,3,3,4,4,4,4,2,4,4,2,5,2,3,3,4,4,3,2,2,3,3,5,3,3,2,5,1,4,1,,3,4,,4,2,3,2,4,5,3,4,4,4,3,6,4,4,,3,4,5,4,4,,3,4,4,3,3,4,4,3,3,,3,4,4,4,3,2,3,5,5,3,
Plantago media,,,3,4,4,3,3,3,4,,6,4,4,,,5,3,5,,3,2,4,3,2,,2,4,,,,5,4,5,5,,5,5,4,,,,4,3,4,3,,,6,5,5,,5,3,4,6,3,4,3,1,4,2,,,4,,4,2,4,4,,,4,4,5,3,4,,4,,,1,5,5,3,,4,5,,2,4,,,,,4,4,,4,3,,4,5,6,4,4,4,4,5,5,,6,5,2,3,3
Poa annua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poa pratensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Polygala calcarea,,2,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Polygala vulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poterium sanguisorba,3,3,4,4,4,4,3,3,3,4,3,4,3,3,3,,3,4,2,1,2,2,,2,2,2,3,3,1,3,4,,3,,,4,3,3,4,4,5,4,3,4,4,,3,3,4,4,,2,3,5,4,4,,3,,4,,5,1,2,2,3,1,4,2,3,2,4,,3,3,5,4,4,4,4,2,4,3,4,2,3,2,,1,2,2,4,1,,4,4,3,3,3,5,3,3,4,2,5,3,2,3,3,2,3,3,4,3,2
Primula veris,1,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,3,4,,,2,,,,,,,,,1,,,,,,,3,,,,,,,,3,,4,,,,4,,4,2,,,,,5,,,,,5,,,,,,,,,1,,5,4,,,2,,,4,,,4,2
Prunella vulgaris,1,,3,3,,,,,,,,2,2,,,,2,,,,2,2,,2,,,,,,,2,,1,,1,,2,,4,3,,,,,,,,2,2,,,,,4,,,,,,,,2,,,,,,2,,,,,2,,2,4,,,2,,,2,,,,,2,,,,,,,,,,1,2,,3,2,,,,,,,,2,,2,2,,2,
Pseudoscleropodium purum,1,,1,1,,,,,,,,1,1,,1,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,,1,,,,,,,2,,,,,,,,1,,,,1,1,,,1,1,,,,,,,1,,,,,1,,
